City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Ambon,ID,2022-08-23 07:14:25,-3.6954,128.1814,75.34,94,75,5.75
230,Khorol,UA,2022-08-23 07:14:26,49.7837,33.2783,83.07,25,46,20.31
231,Port Hedland,AU,2022-08-23 07:14:26,-20.3167,118.5667,86.05,13,0,17.27
232,Vostok,RU,2022-08-23 07:14:27,46.4856,135.8833,51.15,98,100,11.14
233,Yerbogachen,RU,2022-08-23 07:14:28,61.2767,108.0108,51.15,67,100,7.2
234,Tsevie,TG,2022-08-23 07:14:28,6.4261,1.2133,74.08,87,100,9.06
235,Pacific Grove,US,2022-08-23 07:13:27,36.6177,-121.9166,64.2,91,100,6.91
236,Eyl,SO,2022-08-23 07:14:29,7.9803,49.8164,86.49,52,64,29.1
237,Richards Bay,ZA,2022-08-23 07:12:07,-28.783,32.0377,62.69,72,100,4.05
238,Tahta,EG,2022-08-23 07:14:30,26.7693,31.5021,97.21,22,0,1.61
239,Marsa Matruh,EG,2022-08-23 07:14:30,31.3525,27.2453,82.24,58,0,0.45
240,Llangefni,GB,2022-08-23 07:14:31,53.2556,-4.3106,66.65,91,75,17.27
241,Tiznit,MA,2022-08-23 07:14:31,29.5833,-9.5,79.32,44,12,1.48
242,Warrnambool,AU,2022-08-23 07:14:32,-38.3833,142.4833,50.5,70,87,16.51
243,Norman Wells,CA,2022-08-23 07:14:33,65.282,-126.8329,53.15,66,99,7.94
244,Panjakent,TJ,2022-08-23 07:14:33,39.4952,67.6093,80.62,17,0,8.88
245,Cherskiy,RU,2022-08-23 07:14:34,68.75,161.3,64.54,52,44,12.41
246,Villa De Reyes,MX,2022-08-23 07:14:34,21.8,-100.9333,62.1,83,1,4.59
247,Fort Morgan,US,2022-08-23 07:10:02,40.2503,-103.8,66.85,59,0,8.95
248,Luderitz,NA,2022-08-23 07:14:35,-26.6481,15.1594,67.24,34,0,4.12
249,Beckley,US,2022-08-23 07:14:36,37.7782,-81.1882,63.01,96,75,0.0
250,Guerrero Negro,MX,2022-08-23 07:14:36,27.9769,-114.0611,70.68,85,81,10.04
251,Zaysan,KZ,2022-08-23 07:14:37,47.4667,84.8667,73.94,22,0,9.91
252,Nacala,MZ,2022-08-23 07:14:37,-14.5428,40.6728,78.98,58,11,10.85
253,Saint-Georges,GD,2022-08-23 07:14:38,12.0564,-61.7485,79.59,82,93,11.36
254,Belyy Yar,RU,2022-08-23 07:14:38,53.6039,91.3903,62.49,45,0,8.95
255,Okhotsk,RU,2022-08-23 07:14:39,59.3833,143.3,59.77,79,56,4.94
256,Mozarlandia,BR,2022-08-23 07:11:14,-14.7447,-50.5706,69.03,38,17,4.59
257,Chalons-En-Champagne,FR,2022-08-23 07:14:28,48.9539,4.3672,66.24,87,8,3.98
258,Biloela,AU,2022-08-23 07:14:40,-24.4167,150.5,72.84,42,49,7.74
259,Sorland,NO,2022-08-23 07:14:41,67.667,12.6934,51.66,71,75,23.02
260,Santa Pola,ES,2022-08-23 07:14:41,38.1917,-0.5658,83.21,78,20,5.75
261,Vilyuysk,RU,2022-08-23 07:14:42,63.7553,121.6247,45.14,90,100,5.77
262,Sarangani,PH,2022-08-23 07:14:42,5.4033,125.4636,83.68,67,100,4.61
263,Waimana,NZ,2022-08-23 07:14:43,-38.15,177.0833,54.05,80,4,3.31
264,Hamilton,US,2022-08-23 07:10:57,39.1834,-84.5333,66.78,95,0,0.0
265,Kaduna,NG,2022-08-23 07:14:44,10.5222,7.4383,68.94,97,100,7.45
266,Sao Filipe,CV,2022-08-23 07:14:45,14.8961,-24.4956,78.04,85,68,8.01
267,Pahrump,US,2022-08-23 07:14:45,36.2083,-115.9839,88.95,22,5,4.36
268,Nanga Eboko,CM,2022-08-23 07:14:46,4.6833,12.3667,69.19,93,100,4.18
269,Terre Haute,US,2022-08-23 07:14:46,39.4667,-87.4139,63.25,91,20,0.0
270,Port-Gentil,GA,2022-08-23 07:14:47,-0.7193,8.7815,73.36,94,100,8.05
271,Ribeira Grande,PT,2022-08-23 07:14:47,38.5167,-28.7,73.8,78,40,8.05
272,Zhanaozen,KZ,2022-08-23 07:14:48,43.3,52.8,82.71,23,0,12.15
273,Praia Da Vitoria,PT,2022-08-23 07:14:48,38.7333,-27.0667,71.85,83,20,8.72
274,Da Nang,VN,2022-08-23 07:14:49,16.0678,108.2208,94.98,55,20,10.36
275,Sangar,RU,2022-08-23 07:14:50,63.9242,127.4739,46.33,95,100,4.34
276,Torbay,CA,2022-08-23 07:14:50,47.6666,-52.7314,59.58,94,40,20.71
277,Vao,NC,2022-08-23 07:15:51,-22.6667,167.4833,71.31,78,20,13.76
278,Jalu,LY,2022-08-23 07:15:52,29.0331,21.5482,85.12,46,0,5.26
279,Hosakote,IN,2022-08-23 07:15:52,14.2769,77.1699,85.41,50,100,18.66
280,Sivakasi,IN,2022-08-23 07:15:53,9.45,77.8167,90.03,45,100,12.41
281,Manuk Mangkaw,PH,2022-08-23 07:15:54,4.8,119.85,84.43,69,93,8.3
282,Mutoko,ZW,2022-08-23 07:15:54,-17.397,32.2268,61.7,50,53,4.9
283,Vanavara,RU,2022-08-23 07:15:55,60.34,102.2797,45.61,94,100,8.55
284,Bakuriani,GE,2022-08-23 07:15:55,41.7497,43.5325,70.23,44,12,7.58
285,Greeley,US,2022-08-23 07:11:46,40.4233,-104.7091,69.12,65,0,4.61
286,Sao Felix Do Xingu,BR,2022-08-23 07:15:56,-6.6447,-51.995,75.45,42,100,1.28
287,Nizhnekamsk,RU,2022-08-23 07:15:57,55.6366,51.8245,83.19,34,0,4.47
288,Washougal,US,2022-08-23 07:15:58,45.5826,-122.3534,73.33,69,0,10.36
289,Sterling,US,2022-08-23 07:15:58,39.0062,-77.4286,71.6,89,0,6.91
290,Sinop,TR,2022-08-23 07:15:59,41.7711,34.8709,77.43,33,1,5.21
291,Vieste,IT,2022-08-23 07:15:59,41.8825,16.175,76.57,63,83,12.62
292,Shchelkun,RU,2022-08-23 07:16:00,56.3034,60.9483,80.17,42,66,6.35
293,Souillac,MU,2022-08-23 07:16:01,-20.5167,57.5167,77.38,61,20,12.66
294,Tigre,AR,2022-08-23 07:16:01,-34.426,-58.5796,53.6,90,0,4.61
295,Panorama,GR,2022-08-23 07:16:02,40.5878,23.0315,79.29,72,20,5.01
